Epoch,Accuracy,Dice Loss,Dice Coefficient
1,0.984649121761322,0.3647788465023041,0.6352211534976959
2,0.9853821992874146,0.3481358289718628,0.6518641710281372
3,0.9856153130531311,0.345344603061676,0.654655396938324
4,0.9856580495834351,0.32590803503990173,0.6740919649600983
5,0.9851569533348083,0.3350672423839569,0.6649327576160431
6,0.9859136939048767,0.3298412561416626,0.6701587438583374
7,0.9860289096832275,0.31204715371131897,0.687952846288681
8,0.9868141412734985,0.3123991787433624,0.6876008212566376
9,0.9867230653762817,0.3080524504184723,0.6919475495815277
10,0.9871581792831421,0.3077433407306671,0.6922566592693329
11,0.9871996641159058,0.30457034707069397,0.695429652929306
12,0.9868831038475037,0.2950989007949829,0.7049010992050171
13,0.9874563813209534,0.29999956488609314,0.7000004351139069
14,0.987300455570221,0.29012760519981384,0.7098723948001862
15,0.9875503778457642,0.2912560701370239,0.7087439298629761
16,0.9869829416275024,0.2915816009044647,0.7084183990955353
17,0.9872154593467712,0.2944694757461548,0.7055305242538452
18,0.9879342913627625,0.29001230001449585,0.7099876999855042
19,0.9882379174232483,0.27325335144996643,0.7267466485500336
20,0.9875234961509705,0.28618189692497253,0.7138181030750275
