Metric,Min,Max,Mean,Final
Accuracy,0.984649121761322,0.9882379174232483,0.9866691857576371,0.9875234961509705
Dice Loss,0.27325335144996643,0.3647788465023041,0.3102934524416924,0.28618189692497253
Dice Coefficient,0.6352211534976959,0.7267466485500336,0.6897065475583076,0.7138181030750275
